Tweet,Date
निगमको वाइडबडी अष्ट्रेलिया उड्ने  @1stNepali https://t.co/TaqkTOxijL,Mar 28 2020 
राक्सिराङ्गमा भोकमरी गाउँपालिकाद्वारा सहयोगको आह्वान  https://t.co/2aXRKlQUo2,Mar 28 2020 
दक्षिण कोरियामा पहिलो पटक कोरोना भाइरस(कोभिड–१९) बाट संक्रमित भएर उपचार गराइरहेकाभन्दा निको हुनेको संख्या धेरै पुगेको छ । https://t.co/F0KvbQ8CFy,Mar 28 2020 
ज्यालादारी मजदुरलाई उपमहानगरपालिकाद्वारा खाद्यान्‍न वितरण https://t.co/EsnSiFYajS,Mar 28 2020 
ललितपुर महानगरपालिकाले कोरोना संक्रमण फैलन नदिन सरकारले गरेको लकडाउनका बेला काम गर्न नपाएर भोकै बस्नुपर्ने अवस्थाका श्रमिकलाई वडामार्फत राहत उपलब्ध गराउने भएको छ । https://t.co/MXuG9bdeyO,Mar 28 2020 
'कोरोनासँग जुध्ने प्रतिरोधात्मक शक्तिको मानव शरीरमा विकास हुन बाँकी छ' [कुराकानी] https://t.co/Deo4C76933,Mar 28 2020 
लकडाउनमा 'फँसेका' ६ सय ८ विदेशी पयर्टक कतार उडे https://t.co/UCdaXLQopO,Mar 28 2020 
बढाइँदै क्‍वारेन्टाइनको संख्या https://t.co/32Z6VW4Y00,Mar 28 2020 
कपनमा बस्दै आएका रोहिंग्या शरणार्थीलाई खाद्यान्न संकट भएपछि राष्ट्रिय मानवअधिकार आयोगले तत्काल उनीहरुलाई खुवाउने व्यवस्था मिलाउन सरकारलाई निर्देशन दिएको छ। https://t.co/9zYammx6IG,Mar 28 2020 
प्रदेश ५ मा कोभिड–१९ को आशंका गरिएका ५२ बिरामीमध्ये ३६ जनाको स्वाब परीक्षण गर्दा २३ जनामा नेगेटिभ देखिएको छ । https://t.co/AamB0huFDQ,Mar 28 2020 
२३ जनाको परीक्षणमा कोरोना देखिएन  https://t.co/AamB0huFDQ,Mar 28 2020 
कोभिड–१९ विरुद्ध लड्न उच्चस्तरीय समिति गठन गर्न समाजवादीको माग https://t.co/kA2xn8gd7Q,Mar 28 2020 
जनस्वास्थ्य विशेषज्ञहरूले मुलुकमा ३ सातासम्म निरन्तर लकडाउन गर्नुको विकल्प नरहेको बताएका छन्। @atulmishra7 https://t.co/7GzthelP32,Mar 28 2020 
भारतबाट फर्केकाहरू घरमै लुक्छन् क्‍वारेन्टाइनमा बस्‍नै मान्दैनन् https://t.co/psBGq8UfMX,Mar 28 2020 
चौथो संक्रमितको गुनासो ‘अस्पतालले केयर गरेन’ @janakrasa https://t.co/63kxeQbiQK,Mar 28 2020 
लकडाउनको पाँचौं दिनमा यस्तो छ विराटनगरको हाल [तस्बिरहरु] https://t.co/haHl2jY3C4,Mar 28 2020 
कोभिड–१९ विरुद्धको लडाईं जित्‍ने हो भने घरमै बस्‍नुस् : अध्यक्ष दाहाल  @cmprachanda https://t.co/SRIYpKlQnH,Mar 28 2020 
मेडिकल उपकरण तथा स्वास्थ्य सुरक्षा सामग्री लिन निजी क्षेत्रका व्यवसायीको तत्परतामा आगामी बिहीबार(अप्रिल २) नेपाल वायुसेवाको वाइडबडी विमान चीनको ग्वान्जाओ जाने भएको छ । @registandiary https://t.co/WzxbuHmJq1,Mar 28 2020 
नेपालगञ्ज विमानस्थलमा बिहान ११:३०मा क्रयासल्यान्ड भएको विमानको तस्बिर । https://t.co/FtUDIuAh6q https://t.co/A651JwKwhH,Mar 28 2020 
कोरोनाबाट नेपाल सुरक्षित भएको भन्दै स्वदेश फर्कन चाहदैनन् बेलायती पर्यटक https://t.co/QyX8BKHluE,Mar 28 2020 
बागलुङका अधिकांश मेडिकल बन्द https://t.co/QkYXfNt3YY,Mar 28 2020 
[अपडेट] : नमुना लिन गएको नेपाल एयरलाइन्सको जहाज धावनमार्गमा 'क्रायसल्यान्ड' सबै सुरक्षित https://t.co/FtUDIuAh6q,Mar 28 2020 
