Tweet,Date
सन राइज बैकले शुक्रराज ट्रपिकल तथा सरुवा रोग अस्पताललाई व्यक्तिगत सुरक्षा सामाग्री पिपिइ हस्तान्तरण गरेको छ https://t.co/DgyALMTAxo,Mar 28 2020 
कोभिड-१९ को उपचारमा केन्द्रित हुन प्रादेशिक अस्पतालले बन्द गर्‍यो अत्यावश्यकबाहेकका सेवा https://t.co/NtfMAnGCwh,Mar 28 2020 
धनगढीमा कोरोना संक्रमित युवाद्वारा उपचारमा चिकित्सकले बेवास्ता गरेको आरोप ‘हिजोदेखि न त पानी दिए न त कोही सोध्न नै आए’ https://t.co/8sp2chQfUz,Mar 28 2020 
बेलायतमा नेपाली मूलका एकै परिवारका दुई जनाको निधन https://t.co/hoR8EvMZdF,Mar 28 2020 
RT @PahiloPost: आविष्कार केन्द्रको पीपीई मेडिकल काउन्सिलको गाइडलाइन अनुसार ठीक छ भनेको हुँ : डाक्टर भगवान कोइराला https://t.co/dFt0yW6tey,Mar 28 2020 
श्रमिकहरुका लागि विशेष राहत प्याकेज ल्याउनुपर्छ : प्रचण्ड https://t.co/17tP83CWwF,Mar 28 2020 
आविष्कार केन्द्रको पीपीई मेडिकल काउन्सिलको गाइडलाइन अनुसार ठीक छ भनेको हुँ : डाक्टर भगवान कोइराला https://t.co/dFt0yW6tey,Mar 28 2020 
कोरोना संक्रमणको आशंका भएका विरामी लिन गएको चिकित्सकसहितको विमान अन्डरसुट छैन ठूलो क्षति https://t.co/gsd2AKNFkH,Mar 28 2020 
'पर्दा पछाडिका हिरो'लाई सलमान खानको सहयोग https://t.co/rS2g0Lh8Go,Mar 28 2020 
३ सय ४ युरोपेली नागरिक लिएर उड्यो कतारको चार्टर विमान आजै अर्को पनि फ्लाइट हुँदै https://t.co/uWMtjEGKbS,Mar 28 2020 
कोभिड-१९ बारे पहिलो अनुसन्धान गर्ने बैज्ञानिक भन्छन् : संक्रमित सबैलाई आइसोलेसन र शंका लागे क्वारेन्टाइनमा राख्नै पर्छ https://t.co/eo7PzEKPVs,Mar 28 2020 
न्युयोर्कमा फैलिँदो कोरोनाले प्रति १७ मिनेटमा एक जनाको ज्यान लिँदै अमेरिकामा एक लाख नाघ्यो संक्रमित https://t.co/opWYMka2ZQ,Mar 28 2020 
पूर्व डिआइजी रमेश खरेलको कोभिड-१९ विरुद्ध लड्न सरकारलाई ६ सुझाव https://t.co/gjUv9G7dUp,Mar 28 2020 
इटलीमा कोरोनाको कहर: के सन सिरो स्टेडियममा भएको खेलबाट फैलिएको थियो भाइरस ? https://t.co/PvoI9tYFKy,Mar 28 2020 
लकडाउन कडा बनाउन प्रहरीको नयाँ रणनीति : अब सम्झाउने होइन समाउने र थुन्ने एका बिहानै समातिए ३ सय १५ जना https://t.co/OXoPkgy6jX,Mar 28 2020 
छ फ्लाइटबाट ९५ जना विदेशीको लुक्लाबाट उद्दार https://t.co/KLC9zXwVU4,Mar 28 2020 
कसरी आइरहेको छ काठमाडौंमा फ्रेस तरकारी? https://t.co/Oqv6cH1t8J,Mar 28 2020 
जर्मनीमा रहेकी नेपाली नर्सको डायरी : यतिखेरको सामान्य रुघाखोकी पनि जनयुद्धकालका माओवादी झै https://t.co/mSOpIM58Qo,Mar 28 2020 
कोरोना संक्रमण देखियो भन्दै भ्रम फैलाउने पक्राउ https://t.co/9WWINljAvI,Mar 28 2020 
अनि प्रहरी आफैले बनायो सुरक्षित रहन मिल्ने मास्क... https://t.co/j3prklVcqU,Mar 27 2020 
वीरगंज-पथलैया करिडोरमा खाद्यान्न ढुवानी गर्न राति ९ बजेदखि बिहान ७ बजेसम्मको समयसीमा https://t.co/7LWrtRhtWQ,Mar 27 2020 
२४ सै घण्टा सशस्त्र प्रहरीको उच्च निगरानीमा सीमा क्षेत्र https://t.co/RUeXPKrLK6,Mar 27 2020 
कोरोना संक्रमित युवतीसँगै एउटै विमानमा आएका दम्पतीको रिपोर्ट आयो नेगेटिभ https://t.co/I5y8sK6urf,Mar 27 2020 
लकडाउनको उल्लघंन गरी चलाइएका २ सय सवारी साधन प्रहरीको नियन्त्रणमा ग्रामिण भेगका पसलमा भिडभाड https://t.co/GoRv5VZmEI,Mar 27 2020 
नेपालमा हालसम्म चार जनामा कोरोनाको संक्रमण : चारै जना विदेशबाट फर्किएका https://t.co/TRCZlFCP81,Mar 27 2020 
तत्कालका लागि न्यूनतम आवागमन खुला गर्ने उच्चस्तरीय समन्वय समितिको निर्णय https://t.co/t0gcPHIFQF,Mar 27 2020 
भारतबाट फर्किएका ३६ जना एन्फा एकेडेमी रौतहटको क्वारेन्टाइनमा https://t.co/jpShwszg3z,Mar 27 2020 
विद्युतका ३८ लाख ग्राहकलाई महसुलमा २० प्रतिशत छुट https://t.co/Q2DTI2Gawo @BarshamanPun1,Mar 27 2020 
साइप्रसमा करिब १२ हजार नेपाली अलपत्र खानका लागि नेपालबाट प्रतिव्यक्ति तीन सय युरो पठाउन पाउने बाटो खुल्यो https://t.co/wrnTsazf23,Mar 27 2020 
लकडाउनका कारण रित्तियो नाम्लो प्रभावित भरियाले पाए राहत https://t.co/bQuu8Vve2s,Mar 27 2020 
पर्सा राष्ट्रिय निकुञ्जमा सेना-शिकारीबीच गोली हानाहान एक जनाको मृत्यु https://t.co/4vEhbmupMU,Mar 27 2020 
२० घण्टा अस्पतालमा विताएर बालुवाटार फर्किए प्रधानमन्त्री ओली https://t.co/um1EGt8Mqk,Mar 27 2020 
धनगढीमा भेटिए कोरोनाबाट संक्रमित चौथो व्यक्ति सेती अस्पतालमा उपचार हुँदै https://t.co/iXd03TIoot,Mar 27 2020 
प्रधानमन्त्रीका प्रेस सल्लाहकार भन्छन् : ट्रम्प बहादुरीका साथ पछि हट्नुभयो https://t.co/LRm69zcDES,Mar 27 2020 
नेपाल छिर्न नपाएपछि ज्यान माया मारेर महाकालीमै बाँकटे हान्दैछन् सक्नेहरु नसक्ने १ सय ६४ जनाको बगरमै बास @krb98804 को रिपोर्ट https://t.co/SphBv5MukR,Mar 27 2020 
के बाफ लिँदा कोरोनाको भाइरस मर्छ? फ्याक्ट चेक : भाइरल सुझावदेखि होसियार https://t.co/aaXsCIfqNg,Mar 27 2020 
कोरोनाविरुद्धको लडाईमा सरकारलाई कांग्रेसको पूर्ण साथ रहेको खाणको भनाई 'तर यी विषयमा खै ध्यान दिएको?' https://t.co/K6vdijOu3x,Mar 27 2020 
बेलायती प्रधानमन्त्रीलाई कोभिड-१९ को संक्रमण https://t.co/YqcA5nOzSp,Mar 27 2020 
सरकारसँग डाक्टरले मागे सुरक्षा उपकरण यस विषयलाई हल्का रुपमा लिँदा मनोबल गिरेको गुनासो https://t.co/23C5cFuE6i,Mar 27 2020 
सन्नाटा शहरको : यस्तो देखियो लकडाउनको चौथो दिन https://t.co/ShTz2tDn4o,Mar 27 2020 
मुख्यमन्त्रीहरुसँग छलफलपछि कोरोना रोकथाम उच्चस्तरीय समन्वय समितिको बैठक बस्ने https://t.co/kVqlxSqNSS,Mar 27 2020 
लकडाउनका कारण ड्राइपोर्ट भन्सारमै थुप्रियो भारतबाट आएका २५ सय बढी कन्टेनर https://t.co/k5cpxgiA4X,Mar 27 2020 
प्रधानमन्त्री ओली भेट्न अस्पताल पुगे माधव नेपाल ४० मिनेट छलफल https://t.co/cbG9toLqXA,Mar 27 2020 
यस्ता छन् सरकारसँग देउवाका चार बुँदे माग 'राहतको प्याकेज तत्काल घोषणा गर' https://t.co/IJCHVVHpui,Mar 27 2020 
प्रहरीले ल्यायो मानिस समात्ने नयाँ उपकरणः अब हातले नछोइ लकडाउनको समयमा हिड्नेलाई समात्ने https://t.co/Xvkjt1Qhp2,Mar 27 2020 
अमेरिकाको न्युयोर्क शहरमा सबैभन्दा धेरै कोरोना संक्रमित एकैदिन ८४ जनाको मृत्यु https://t.co/jxVmMYAXt5,Mar 27 2020 
कोभिड-१९ को रोकथाममा खटिने सुरक्षाकर्मीलाई ५० र स्वास्थ्यकर्मीलाई शत प्रतिशत प्रोत्साहन भत्ता https://t.co/bQTzfJGCDm,Mar 27 2020 
कोभिड-१९ प्रभाव : कान्तिपुर पब्लिकेसनले बन्द गर्‍यो सबै प्रिन्ट संस्करण https://t.co/8F2LrUnlgD,Mar 27 2020 
कोरोनाविरुद्धको कोषमा कांग्रेस नेता इन्द्र बानियाँले पाँच लाख प्रदान गर्ने https://t.co/tlMbfW1tZ1,Mar 27 2020 
भारतीय अभिनेता प्रभासले कोरोना कोषलाई दिए ४ करोड https://t.co/iPMihbW2GX,Mar 27 2020 
अस्पताल पुगेर प्रचण्डले लिए प्रधानमन्त्री ओलीको स्वास्थ्यबारे जानकारी https://t.co/E5LG8Roh96,Mar 27 2020 
दक्षिण अफ्रिकामा कोरोना संक्रमणबाट पहिलो मृत्युएक हजारभन्दा धेरै संक्रमित https://t.co/ZfGbKr9TkD,Mar 27 2020 
लकडाउनको मौका छोपी कालोबजारी गर्ने ११ जना पक्राउ https://t.co/CRl0APMiE5,Mar 27 2020 
कोरोनाविरुद्ध लड्न कपिल शर्माको आर्थिक सहयोग विपत् व्यवस्थापन कोषमा जम्मा गरे ५० लाख https://t.co/jAzPsVDs6Q,Mar 27 2020 
कोरोना रोकथाम कोषमा हालसम्म करिब १२ करोड जम्मा कर्मचारीले पनि तलब दिने https://t.co/F9IQ6SVWCq,Mar 27 2020 
धामीको धन्दा : आँगनको ढुङ्गा पल्टाउँदा कोरोनाको औषधी! @AmrBaduwal को ब्लग https://t.co/0kMJHQc9Ue,Mar 27 2020 
राप्ती स्वास्थ्य विज्ञान प्रतिष्ठानमा कोरोना विशेष अस्पताल सञ्चालन हुने https://t.co/KYn1pV2Ggl,Mar 27 2020 
कोभिड-१९ को उपचारका लागि बिएण्डसी अस्पताल सरकारलाई दिन तयार https://t.co/jmhFIrWnp6,Mar 27 2020 
सुर्खेतमा मुनाल गार्मेन्ट र देउती होजियारीले शुरु गरे पिपिईको उत्पादन https://t.co/NQ2cbi5mzN,Mar 27 2020 
छोरीसँग सन्देशमुलक गीत गाउँदै जीवन शर्माले भने: समयसँग सम्झौता हैन संघर्ष गरौं https://t.co/G0jAXaoXSi,Mar 27 2020 
रणवीर सिंह स्टारर '८३'को रिलिज टार्गेट तय प्रदर्शनका लागि छानियो विशेष दिन https://t.co/F7cXPRAJOP,Mar 27 2020 
जी २० भर्चुअल सम्मेलनमा चिनियाँ राष्ट्रपतिका चार प्रस्ताव सम्वोधनको पूर्णपाठ https://t.co/LHsxJoRFY6,Mar 27 2020 
कोभिड-१९ लाई 'चाइना भाइरस' भन्ने अमेरिकी राष्ट्रपतिले गरे चीनको प्रशंसा मिलेर काम गर्ने उद्घोष https://t.co/ySTKKMLXGg,Mar 27 2020 
तीन सय पाँच जना विदेशी 'चार्टर' उडानबाट फर्कँए शनिबार पनि अर्को उडान https://t.co/mjl3Lx2GAK,Mar 27 2020 
मुस्कान खातुनमाथि एसिड फ्याँक्ने साधारण तारेखमा रिहा https://t.co/BBNUWrRBxn,Mar 27 2020 
कोरोनाविरुद्ध जुध्न तयार पाटन अस्पताल : व्यवस्थित आइसोलेसनदेखि आफै सिलाउँदै पीपीई https://t.co/uhEYUVrwKq,Mar 27 2020 
कोरोनाको असर : अपराध शून्य ! https://t.co/Y1ljksebCU,Mar 27 2020 
चीनले दिएको चिकित्सा सामग्री आज तातोपानी आइपुग्ने https://t.co/WcvTfENpRr,Mar 27 2020 
एनसेल रिचार्ज गर्दा १२० प्रतिशत बोनस https://t.co/hMXXohzzqf,Mar 27 2020 
भारतबाट नेपाल फर्किएका दुई सय नेपाली झुलाघाटमा अलपत्र नाका बन्द भएपछि महाकालीमा ट्युबको सहाराले फर्कंदै https://t.co/PdR6isIgCf,Mar 27 2020 
कांग्रेस प्रवक्ता विश्वप्रकाशले भने 'ठुलो क्षतिको साइरन बजेको छ काँग्रेसले पनि सरकारलाई बल दिने बेला हो यो' https://t.co/XpRSTA78w4,Mar 27 2020 
भक्तपुर नगरपालिकाले ३ घन्टा किनमेल गर्न बजार खुलाएपछि यस्तो भिड https://t.co/Dca2GWa6O7,Mar 27 2020 
सल्यानमा बस दुर्घटना हुँदा सहचालकको मृत्यु तीन जना घाइते https://t.co/QIzVe8ioJW,Mar 27 2020 
विश्व स्वास्थ्य संगठनले पान्डेमिक तीब्र रुपमा फैलिँदै गएको जनाएको छ। यो संक्रमण एक लाखमा पुग्न पहिलो संक्रमण देखिएको ६७ दिन लागेको थियो। त्यसपछिको ११ दिनमा अर्को एक लाखमा संक्रमण थपियो। र अर्को चार दिनमा फेरि अर्को एक लाखमा संक्रमण देखियो। https://t.co/7CYit0OKN0,Mar 27 2020 
कोरोना संक्रमित संख्यामा अमेरिकाले चीनलाई उछिन्यो ट्रम्प भन्छन्: धेरै परीक्षण गर्दा संख्या बढ्यो चीनले तथ्यांक लुकायो https://t.co/7CYit0OKN0,Mar 27 2020 
तरकारी बजारको बेग्लै रौनक : भाऊ दोब्बरले बढ्यो जारी छ कारोबार https://t.co/nWHq80b3sk,Mar 27 2020 
प्रधानमन्त्री ओलीलाई त्रिभुवन विश्वविद्यालय शिक्षण अस्पतालस्थित मनमोहन कार्डियोथोरासिक भास्कुलर एण्ड ट्रान्सप्लान्ट सेन्टरमा भर्ना गरिएको हो। जहाँ ओलीको दोस्रो पटक मिर्गौला प्रत्यारोपण गरिएको थियो। https://t.co/gZNljUB1Zp,Mar 27 2020 
मध्यराति प्रधानमन्त्री ओली अस्पताल भर्ना आजै डिस्चार्ज हुने https://t.co/gZNljUB1Zp,Mar 27 2020 
